timestamp,session_id,last_lap,current_lap,sector1_time,sector2_time,sector3_time,delta_front,lap_distance,car_pos,current_sector
312.890,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.918,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.988,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.002,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.016,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.045,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.059,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.088,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.103,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.145,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.160,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.188,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.203,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.248,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.263,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.294,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.308,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.336,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.364,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.407,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.436,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.450,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.480,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.540,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.570,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.585,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.600,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.614,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.644,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.703,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.718,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.885,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.901,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.948,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.964,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.980,13859826608897719907,0,0,0,0,0,0,0.000,0,0
313.996,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.013,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.029,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.045,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.061,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.077,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.092,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.108,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.139,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.170,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.186,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.203,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.236,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.253,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.271,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.288,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.304,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.320,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.352,13859826608897719907,0,0,0,0,0,0,0.000,0,0
314.383,13859826608897719907,0,0,0,0,0,0,0.000,0,0
